,Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0,team_name
1118,PW Hasaranga,2021-2023,26,14,4,72,18,7.20,98.63,-,-,3, Royal Challengers Bengaluru
1119,VR Aaron,2014-2016,24,5,4,41,17*,41.00,110.81,-,-,-, Royal Challengers Bengaluru
1120,SA Abbott,2015-2015,2,2,-,15,14,7.50,115.38,-,-,-, Royal Challengers Bengaluru
1121,Abdur Razzak,2008-2008,1,1,1,-,0*,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1122,AD Nath,2019-2019,8,5,-,61,24,12.20,107.01,-,-,-, Royal Challengers Bengaluru
1123,MA Agarwal,2011-2013,29,24,1,433,64*,18.82,127.35,-,1,1, Royal Challengers Bengaluru
1124,AN Ahmed,2014-2015,7,4,3,14,5*,14.00,233.33,-,-,-, Royal Challengers Bengaluru
1125,Akash Deep,2022-2024,8,3,1,19,17,9.50,158.33,-,-,1, Royal Challengers Bengaluru
1126,B Akhil,2008-2010,14,10,5,63,27*,12.60,136.95,-,-,2, Royal Challengers Bengaluru
1127,MM Ali,2018-2020,19,17,2,309,66,20.60,158.46,-,3,1, Royal Challengers Bengaluru
1128,CJ Anderson,2018-2018,3,3,-,17,15,5.66,77.27,-,-,1, Royal Challengers Bengaluru
1129,Anuj Rawat,2022-2024,22,20,5,318,66,21.20,119.54,-,1,3, Royal Challengers Bengaluru
1130,KP Appanna,2009-2012,14,3,2,2,1*,2.00,50.00,-,-,-, Royal Challengers Bengaluru
1131,S Aravind,2011-2017,38,12,8,59,14*,14.75,103.50,-,-,2, Royal Challengers Bengaluru
1132,KB Arun Karthik,2011-2013,16,7,2,48,19*,9.60,104.34,-,-,1, Royal Challengers Bengaluru
1133,J Arunkumar,2008-2008,3,3,-,23,22,7.66,100.00,-,-,1, Royal Challengers Bengaluru
1134,M Ashwin,2018-2018,2,1,-,1,1,1.00,50.00,-,-,-, Royal Challengers Bengaluru
1135,Avesh Khan,2017-2017,1,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1136,S Badree,2017-2017,7,5,-,13,8,2.60,56.52,-,-,2, Royal Challengers Bengaluru
1137,KS Bharat,2021-2021,8,7,2,191,78*,38.20,122.43,-,1,-, Royal Challengers Bengaluru
1138,RR Bhatkal,2012-2012,1,1,-,-,-,0.00,0.00,-,-,1, Royal Challengers Bengaluru
1139,STR Binny,2016-2017,22,13,4,141,21,15.66,122.60,-,-,-, Royal Challengers Bengaluru
1140,R Bishnoi,2009-2009,3,3,-,19,18,6.33,111.76,-,-,1, Royal Challengers Bengaluru
1141,MS Bisla,2015-2015,2,2,-,37,20,18.50,123.33,-,-,-, Royal Challengers Bengaluru
1142,MV Boucher,2008-2010,27,21,8,388,50*,29.84,128.05,-,1,-, Royal Challengers Bengaluru
1143,MG Bracewell,2023-2023,5,4,2,58,26,29.00,123.40,-,-,-, Royal Challengers Bengaluru
1144,YS Chahal,2014-2021,113,18,12,32,8*,5.33,41.02,-,-,1, Royal Challengers Bengaluru
1145,S Chanderpaul,2008-2008,3,3,-,25,16,8.33,80.64,-,-,-, Royal Challengers Bengaluru
1146,SD Chauhan,2024-2024,3,3,-,18,9,6.00,120.00,-,-,1, Royal Challengers Bengaluru
1147,B Chipli,2008-2008,3,3,-,20,10,6.66,71.42,-,-,-, Royal Challengers Bengaluru
1148,A Choudhary,2017-2017,5,3,2,25,15*,25.00,125.00,-,-,-, Royal Challengers Bengaluru
1149,DT Christian,2013-2021,11,9,1,20,9,2.50,51.28,-,-,1, Royal Challengers Bengaluru
1150,MJ Dagar,2024-2024,5,1,-,-,-,0.00,0.00,-,-,1, Royal Challengers Bengaluru
1151,TH David,2021-2021,1,1,-,1,1,1.00,33.33,-,-,-, Royal Challengers Bengaluru
1152,C de Grandhomme,2018-2019,13,12,4,177,40,22.12,133.08,-,-,-, Royal Challengers Bengaluru
1153,Q de Kock,2018-2018,8,8,-,201,53,25.12,124.07,-,1,-, Royal Challengers Bengaluru
1154,AB de Villiers,2011-2021,156,144,35,4491,133*,41.20,158.63,2,37,8, Royal Challengers Bengaluru
1155,TM Dilshan,2011-2013,25,24,3,587,76*,27.95,109.92,-,5,3, Royal Challengers Bengaluru
1156,AB Dinda,2014-2015,11,3,2,4,2*,4.00,33.33,-,-,1, Royal Challengers Bengaluru
1157,ND Doshi,2010-2010,1,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1158,R Dravid,2008-2010,43,37,3,898,75*,26.41,122.84,-,4,3, Royal Challengers Bengaluru
1159,S Dube,2019-2020,15,13,3,169,27*,16.90,122.46,-,-,-, Royal Challengers Bengaluru
1160,F du Plessis,2022-2024,45,45,2,1636,96,38.04,146.99,-,15,2, Royal Challengers Bengaluru
1161,D du Preez,2009-2009,2,1,-,10,10,10.00,76.92,-,-,-, Royal Challengers Bengaluru
1162,LH Ferguson,2024-2024,7,1,-,1,1,1.00,100.00,-,-,-, Royal Challengers Bengaluru
1163,AJ Finch,2020-2020,12,12,-,268,52,22.33,111.20,-,1,-, Royal Challengers Bengaluru
1164,GHS Garton,2021-2021,5,3,2,2,2*,2.00,50.00,-,-,1, Royal Challengers Bengaluru
1165,CH Gayle,2011-2017,85,84,11,3163,175*,43.32,152.72,5,19,5, Royal Challengers Bengaluru
1166,SP Goswami,2008-2010,7,6,-,143,52,23.83,92.25,-,1,-, Royal Challengers Bengaluru
1167,C Green,2024-2024,13,12,4,255,46,31.87,143.25,-,-,-, Royal Challengers Bengaluru
1168,Gurkeerat Singh,2019-2020,11,8,5,169,65,56.33,112.66,-,1,-, Royal Challengers Bengaluru
1169,JR Hazlewood,2022-2023,15,6,6,19,7*,0.00,67.85,-,-,-, Royal Challengers Bengaluru
1170,TM Head,2016-2017,10,10,3,205,75*,29.28,138.51,-,1,1, Royal Challengers Bengaluru
1171,MC Henriques,2013-2013,10,9,5,165,44,41.25,132.00,-,-,-, Royal Challengers Bengaluru
1172,SO Hetmyer,2019-2019,5,5,-,90,75,18.00,123.28,-,1,1, Royal Challengers Bengaluru
1173,Iqbal Abdulla,2015-2017,15,5,3,62,33*,31.00,119.23,-,-,1, Royal Challengers Bengaluru
1174,WG Jacks,2024-2024,8,8,1,230,100*,32.85,175.57,1,1,-, Royal Challengers Bengaluru
1175,KM Jadhav,2016-2023,19,17,5,321,69,26.75,140.78,-,1,-, Royal Challengers Bengaluru
1176,W Jaffer,2008-2009,8,8,-,130,50,16.25,107.43,-,1,1, Royal Challengers Bengaluru
1177,SB Jakati,2014-2014,1,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1178,KA Jamieson,2021-2021,9,7,3,65,16*,16.25,118.18,-,-,-, Royal Challengers Bengaluru
1179,CJ Jordan,2016-2016,9,1,-,3,3,3.00,75.00,-,-,-, Royal Challengers Bengaluru
1180,AS Joseph,2024-2024,3,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1181,SB Joshi,2008-2008,4,2,-,6,3,3.00,42.85,-,-,-, Royal Challengers Bengaluru
1182,M Kaif,2011-2012,9,5,1,55,15,13.75,112.24,-,-,-, Royal Challengers Bengaluru
1183,JH Kallis,2008-2010,42,42,6,1132,89*,31.44,112.19,-,10,4, Royal Challengers Bengaluru
1184,KD Karthik,2015-2024,60,53,15,937,83,24.65,162.95,-,3,6, Royal Challengers Bengaluru
1185,M Kartik,2013-2013,11,2,1,2,2*,2.00,66.66,-,-,1, Royal Challengers Bengaluru
1186,S Kaul,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1187,AA Kazi,2011-2011,1,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1188,SN Khan,2015-2018,25,18,7,228,45*,20.72,159.44,-,-,1, Royal Challengers Bengaluru
1189,Z Khan,2008-2013,44,15,7,67,21,8.37,79.76,-,-,4, Royal Challengers Bengaluru
1190,K Khejroliya,2018-2019,5,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1191,H Klaasen,2019-2019,3,2,-,9,6,4.50,90.00,-,-,-, Royal Challengers Bengaluru
1192,V Kohli,2008-2024,252,244,37,8004,113*,38.66,131.97,8,55,10, Royal Challengers Bengaluru
1193,P Kumar,2008-2010,38,24,7,181,34,10.64,119.07,-,-,4, Royal Challengers Bengaluru
1194,A Kumble,2008-2010,42,17,14,35,8,11.66,74.46,-,-,-, Royal Challengers Bengaluru
1195,CK Langeveldt,2011-2011,3,1,-,8,8,8.00,100.00,-,-,-, Royal Challengers Bengaluru
1196,MK Lomror,2022-2024,29,25,4,346,54*,16.47,155.85,-,1,3, Royal Challengers Bengaluru
1197,BB McCullum,2018-2018,6,6,-,127,43,21.16,144.31,-,-,1, Royal Challengers Bengaluru
1198,AB McDonald,2012-2013,5,4,1,47,30,15.66,127.02,-,-,1, Royal Challengers Bengaluru
1199,NJ Maddinson,2014-2015,3,3,-,20,12,6.66,95.23,-,-,-, Royal Challengers Bengaluru
1200,Mandeep Singh,2015-2018,40,32,5,597,54*,22.11,128.94,-,2,4, Royal Challengers Bengaluru
1201,GJ Maxwell,2021-2024,52,50,6,1266,78,28.77,159.24,-,12,8, Royal Challengers Bengaluru
1202,TS Mills,2017-2017,5,3,-,8,6,2.66,72.72,-,-,1, Royal Challengers Bengaluru
1203,AF Milne,2016-2017,5,3,1,7,5,3.50,58.33,-,-,-, Royal Challengers Bengaluru
1204,Misbah-ul-Haq,2008-2008,8,8,1,117,47*,16.71,144.44,-,-,2, Royal Challengers Bengaluru
1205,A Mithun,2009-2013,16,8,3,34,11,6.80,130.76,-,-,1, Royal Challengers Bengaluru
1206,Mohammed Siraj,2018-2024,87,25,15,109,14*,10.90,91.59,-,-,2, Royal Challengers Bengaluru
1207,EJG Morgan,2010-2010,6,4,1,35,17,11.66,116.66,-,-,-, Royal Challengers Bengaluru
1208,JA Morkel,2014-2014,7,5,2,45,16,15.00,109.75,-,-,-, Royal Challengers Bengaluru
1209,CH Morris,2020-2020,9,5,1,34,25*,8.50,161.90,-,-,1, Royal Challengers Bengaluru
1210,A Mukund,2013-2013,1,1,-,19,19,19.00,90.47,-,-,-, Royal Challengers Bengaluru
1211,M Muralidaran,2012-2014,21,2,-,6,6,3.00,66.66,-,-,1, Royal Challengers Bengaluru
1212,KK Nair,2013-2013,2,2,-,9,9,4.50,75.00,-,-,1, Royal Challengers Bengaluru
1213,DP Nannes,2011-2011,2,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1214,P Negi,2017-2019,21,16,2,156,35,11.14,121.87,-,-,3, Royal Challengers Bengaluru
1215,R Ninan,2011-2011,2,1,-,3,3,3.00,50.00,-,-,-, Royal Challengers Bengaluru
1216,AA Noffke,2008-2008,1,1,-,9,9,9.00,90.00,-,-,-, Royal Challengers Bengaluru
1217,D Padikkal,2020-2021,29,29,1,884,101*,31.57,125.03,1,6,2, Royal Challengers Bengaluru
1218,MK Pandey,2009-2010,18,17,3,417,114*,29.78,121.22,1,-,2, Royal Challengers Bengaluru
1219,Pankaj Singh,2009-2010,5,3,1,2,1*,1.00,50.00,-,-,1, Royal Challengers Bengaluru
1220,P Parameswaran,2012-2012,3,1,1,-,0*,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1221,WD Parnell,2023-2023,7,1,-,2,2,2.00,40.00,-,-,-, Royal Challengers Bengaluru
1222,Parvez Rasool,2016-2016,4,1,-,10,10,10.00,111.11,-,-,-, Royal Challengers Bengaluru
1223,HV Patel,2012-2023,80,32,12,155,31,7.75,124.00,-,-,6, Royal Challengers Bengaluru
1224,PA Patel,2014-2019,32,32,3,731,67,25.20,130.07,-,4,1, Royal Challengers Bengaluru
1225,AUK Pathan,2011-2012,8,7,2,39,14,7.80,169.56,-,-,2, Royal Challengers Bengaluru
1226,RM Patidar,2021-2024,27,24,1,799,112*,34.73,158.84,1,7,1, Royal Challengers Bengaluru
1227,DT Patil,2008-2008,2,2,-,13,9,6.50,100.00,-,-,-, Royal Challengers Bengaluru
1228,JR Philippe,2020-2020,5,5,1,78,33,19.50,101.29,-,-,1, Royal Challengers Bengaluru
1229,KP Pietersen,2009-2010,13,13,3,329,66*,32.90,135.95,-,2,2, Royal Challengers Bengaluru
1230,LA Pomersbach,2011-2011,5,4,-,51,29,12.75,130.76,-,-,-, Royal Challengers Bengaluru
1231,SS Prabhudessai,2022-2024,11,10,-,126,34,12.60,118.86,-,-,1, Royal Challengers Bengaluru
1232,CA Pujara,2011-2013,14,10,-,143,51,14.30,94.07,-,1,1, Royal Challengers Bengaluru
1233,KL Rahul,2013-2016,19,14,3,417,68*,37.90,145.29,-,4,1, Royal Challengers Bengaluru
1234,R Rampaul,2013-2014,12,7,2,51,23*,10.20,102.00,-,-,3, Royal Challengers Bengaluru
1235,S Rana,2014-2014,9,7,4,73,19*,24.33,112.30,-,-,-, Royal Challengers Bengaluru
1236,P Ray Barman,2019-2019,1,1,-,19,19,19.00,79.16,-,-,-, Royal Challengers Bengaluru
1237,KW Richardson,2016-2021,5,1,1,1,1*,0.00,100.00,-,-,-, Royal Challengers Bengaluru
1238,RR Rossouw,2014-2015,5,5,-,53,24,10.60,103.92,-,-,1, Royal Challengers Bengaluru
1239,SE Rutherford,2022-2022,3,2,-,33,28,16.50,66.00,-,-,-, Royal Challengers Bengaluru
1240,JD Ryder,2009-2009,5,5,-,56,32,11.20,114.28,-,-,2, Royal Challengers Bengaluru
1241,Sachin Baby,2016-2021,15,10,2,141,33,17.62,127.02,-,-,1, Royal Challengers Bengaluru
1242,Shahbaz Ahmed,2020-2023,39,25,6,321,45,16.89,117.15,-,-,-, Royal Challengers Bengaluru
1243,NA Saini,2019-2021,28,6,3,31,12*,10.33,88.57,-,-,-, Royal Challengers Bengaluru
1244,DJG Sammy,2015-2015,2,2,-,13,7,6.50,72.22,-,-,-, Royal Challengers Bengaluru
1245,DR Sams,2021-2021,2,2,1,6,3*,6.00,100.00,-,-,-, Royal Challengers Bengaluru
1246,T Shamsi,2016-2016,4,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1247,H Sharma,2023-2024,2,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1248,KV Sharma,2009-2024,17,6,-,35,20,5.83,152.17,-,-,-, Royal Challengers Bengaluru
1249,RP Singh,2013-2013,11,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1250,TG Southee,2018-2019,11,5,3,61,36*,30.50,110.90,-,-,-, Royal Challengers Bengaluru
1251,S Sriram,2010-2010,1,1,-,27,27,27.00,93.10,-,-,-, Royal Challengers Bengaluru
1252,B Stanlake,2017-2017,2,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1253,MA Starc,2014-2015,27,12,5,96,29,13.71,97.95,-,-,-, Royal Challengers Bengaluru
1254,DW Steyn,2008-2020,33,10,4,16,8,2.66,59.25,-,-,3, Royal Challengers Bengaluru
1255,MP Stoinis,2019-2019,10,10,6,211,46*,52.75,135.25,-,-,2, Royal Challengers Bengaluru
1256,Swapnil Singh,2024-2024,7,5,3,37,15*,18.50,176.19,-,-,1, Royal Challengers Bengaluru
1257,J Syed Mohammad,2011-2013,11,5,3,29,13*,14.50,111.53,-,-,-, Royal Challengers Bengaluru
1258,YV Takawale,2014-2014,5,5,-,104,45,20.80,114.28,-,-,2, Royal Challengers Bengaluru
1259,LRPL Taylor,2008-2010,22,22,5,517,81*,30.41,142.03,-,2,1, Royal Challengers Bengaluru
1260,SS Tiwary,2011-2013,40,30,10,487,52,24.35,104.95,-,1,-, Royal Challengers Bengaluru
1261,RJW Topley,2023-2024,5,1,1,3,3*,0.00,50.00,-,-,-, Royal Challengers Bengaluru
1262,I Udana,2020-2020,10,4,1,15,10*,5.00,136.36,-,-,1, Royal Challengers Bengaluru
1263,JD Unadkat,2013-2013,13,2,2,2,1*,0.00,100.00,-,-,-, Royal Challengers Bengaluru
1264,RV Uthappa,2009-2010,31,27,4,549,68*,23.86,141.49,-,4,1, Royal Challengers Bengaluru
1265,RE van der Merwe,2009-2010,11,9,-,123,35,13.66,123.00,-,-,-, Royal Challengers Bengaluru
1266,JJ van der Wath,2011-2011,3,3,1,18,14*,9.00,112.50,-,-,1, Royal Challengers Bengaluru
1267,DL Vettori,2011-2012,22,10,5,54,20,10.80,100.00,-,-,1, Royal Challengers Bengaluru
1268,R Vinay Kumar,2008-2013,64,29,11,237,26*,13.16,116.17,-,-,2, Royal Challengers Bengaluru
1269,Vishnu Vinod,2017-2017,3,3,-,19,9,6.33,73.07,-,-,-, Royal Challengers Bengaluru
1270,M Vohra,2018-2018,4,4,-,55,45,13.75,117.02,-,-,1, Royal Challengers Bengaluru
1271,V Vyshak,2023-2024,11,4,2,14,13*,7.00,116.66,-,-,2, Royal Challengers Bengaluru
1272,Washington Sundar,2018-2021,31,21,6,208,35,13.86,113.66,-,-,1, Royal Challengers Bengaluru
1273,SR Watson,2016-2017,24,22,3,250,36,13.15,117.92,-,-,1, Royal Challengers Bengaluru
1274,CL White,2008-2010,15,13,4,162,31*,18.00,120.00,-,-,1, Royal Challengers Bengaluru
1275,D Wiese,2015-2016,15,8,4,127,47*,31.75,141.11,-,-,-, Royal Challengers Bengaluru
1276,DJ Willey,2022-2023,8,5,3,53,20*,26.50,85.48,-,-,1, Royal Challengers Bengaluru
1277,CR Woakes,2018-2018,5,4,2,17,11,8.50,89.47,-,-,-, Royal Challengers Bengaluru
1278,UT Yadav,2018-2020,27,13,6,28,14,4.00,73.68,-,-,3, Royal Challengers Bengaluru
1279,Yash Dayal,2024-2024,14,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1280,Yuvraj Singh,2014-2014,14,14,3,376,83,34.18,135.25,-,3,1, Royal Challengers Bengaluru
1281,A Zampa,2020-2020,3,-,-,-,-,0.00,0.00,-,-,-, Royal Challengers Bengaluru
1282,VH Zol,2014-2014,3,2,-,29,16,14.50,111.53,-,-,-, Royal Challengers Bengaluru
1283,SA Abbott,2022-2022,1,1,-,7,7,7.00,140.00,-,-,-, Sunrisers Hyderabad
1284,Abdul Samad,2020-2024,50,40,10,577,37*,19.23,146.07,-,-,3, Sunrisers Hyderabad
1285,Abhishek Sharma,2019-2024,60,58,5,1314,75*,24.79,153.86,-,7,2, Sunrisers Hyderabad
1286,MA Agarwal,2023-2024,14,14,-,334,83,23.85,125.09,-,1,-, Sunrisers Hyderabad
1287,KK Ahmed,2018-2021,24,3,-,1,1,0.33,20.00,-,-,2, Sunrisers Hyderabad
1288,Anand Rajan,2013-2013,2,-,-,-,-,0.00,0.00,-,-,-, Sunrisers Hyderabad
1289,S Anirudha,2014-2014,1,1,-,3,3,3.00,60.00,-,-,-, Sunrisers Hyderabad
1290,Ankit Sharma,2013-2013,1,-,-,-,-,0.00,0.00,-,-,-, Sunrisers Hyderabad
1291,Anmolpreet Singh,2023-2024,6,6,-,110,36,18.33,125.00,-,-,1, Sunrisers Hyderabad
1292,A Ashish Reddy,2013-2016,22,18,7,245,36*,22.27,149.39,-,-,-, Sunrisers Hyderabad
1293,JM Bairstow,2019-2021,28,28,3,1038,114,41.52,142.19,1,7,2, Sunrisers Hyderabad
1294,Basil Thampi,2018-2020,8,3,2,4,3,4.00,57.14,-,-,-, Sunrisers Hyderabad
1295,RK Bhui,2018-2019,2,2,-,7,7,3.50,41.17,-,-,1, Sunrisers Hyderabad
1296,Bipul Sharma,2015-2017,18,8,4,83,27*,20.75,162.74,-,-,-, Sunrisers Hyderabad
1297,RS Bopara,2015-2015,9,8,3,145,41,29.00,120.83,-,-,1, Sunrisers Hyderabad
1298,TA Boult,2015-2016,8,-,-,-,-,0.00,0.00,-,-,-, Sunrisers Hyderabad
1299,CR Brathwaite,2018-2018,4,4,1,75,43*,25.00,156.25,-,-,-, Sunrisers Hyderabad
1300,HC Brook,2023-2023,11,11,2,190,100*,21.11,123.37,1,-,3, Sunrisers Hyderabad
1301,PJ Cummins,2024-2024,16,10,4,136,35*,22.66,143.15,-,-,-, Sunrisers Hyderabad
1302,BCJ Cutting,2016-2017,8,7,3,116,39*,29.00,193.33,-,-,1, Sunrisers Hyderabad
1303,MJ Dagar,2023-2023,3,-,-,-,-,0.00,0.00,-,-,-, Sunrisers Hyderabad
1304,Q de Kock,2013-2013,3,3,-,6,4,2.00,40.00,-,-,1, Sunrisers Hyderabad
1305,S Dhawan,2013-2018,85,85,12,2518,92*,34.49,124.28,-,19,3, Sunrisers Hyderabad
1306,Fazalhaq Farooqi,2022-2023,7,2,2,3,2*,0.00,23.07,-,-,-, Sunrisers Hyderabad
1307,AJ Finch,2014-2014,13,13,2,309,88*,28.09,117.49,-,2,-, Sunrisers Hyderabad
1308,PK Garg,2020-2022,21,17,1,251,51*,15.68,115.13,-,1,2, Sunrisers Hyderabad
1309,S Gopal,2022-2022,1,1,1,9,9*,0.00,128.57,-,-,-, Sunrisers Hyderabad
1310,SP Goswami,2018-2020,8,5,-,52,35,10.40,118.18,-,-,2, Sunrisers Hyderabad
1311,MJ Guptill,2019-2019,3,3,-,81,36,27.00,152.83,-,-,-, Sunrisers Hyderabad
1312,AD Hales,2018-2018,6,6,-,148,45,24.66,125.42,-,-,-, Sunrisers Hyderabad
1313,TM Head,2024-2024,15,15,1,567,102,40.50,191.55,1,4,3, Sunrisers Hyderabad
1314,MC Henriques,2014-2017,42,37,10,755,74*,27.96,128.83,-,5,2, Sunrisers Hyderabad
1315,JO Holder,2014-2021,16,12,3,167,47*,18.55,121.89,-,-,-, Sunrisers Hyderabad
1316,DJ Hooda,2016-2019,47,36,9,373,34,13.81,117.66,-,-,1, Sunrisers Hyderabad
1317,AJ Hosein,2023-2023,1,1,1,16,16*,0.00,160.00,-,-,-, Sunrisers Hyderabad
1318,KM Jadhav,2021-2021,6,5,1,55,19,13.75,105.76,-,-,-, Sunrisers Hyderabad
1319,M Jansen,2022-2024,19,11,6,66,17*,13.20,104.76,-,-,-, Sunrisers Hyderabad
1320,CJ Jordan,2017-2018,2,1,-,-,-,0.00,0.00,-,-,1, Sunrisers Hyderabad
1321,Kartik Tyagi,2022-2023,5,2,-,7,7,3.50,116.66,-,-,1, Sunrisers Hyderabad
1322,S Kaul,2017-2021,43,9,5,11,7*,2.75,44.00,-,-,2, Sunrisers Hyderabad
1323,H Klaasen,2023-2024,28,26,5,927,104,44.14,173.92,1,6,-, Sunrisers Hyderabad
1324,B Kumar,2014-2024,145,49,24,213,27,8.52,99.53,-,-,5, Sunrisers Hyderabad
1325,P Kumar,2015-2015,12,4,1,17,12,5.66,68.00,-,-,1, Sunrisers Hyderabad
1326,M Markande,2023-2024,17,3,3,21,18*,0.00,161.53,-,-,-, Sunrisers Hyderabad
1327,AK Markram,2022-2024,38,36,8,849,68*,30.32,131.01,-,5,2, Sunrisers Hyderabad
1328,MR Marsh,2020-2020,1,1,-,-,-,0.00,0.00,-,-,1, Sunrisers Hyderabad
1329,A Mishra,2013-2014,27,10,3,93,30,13.28,90.29,-,-,3, Sunrisers Hyderabad
1330,Mohammad Nabi,2017-2021,17,14,2,180,31,15.00,151.26,-,-,-, Sunrisers Hyderabad
1331,Mohammed Siraj,2017-2017,6,-,-,-,-,0.00,0.00,-,-,-, Sunrisers Hyderabad
1332,EJG Morgan,2015-2016,16,15,2,310,63,23.84,121.09,-,2,1, Sunrisers Hyderabad
1333,Mujeeb Ur Rahman,2021-2021,1,1,1,1,1*,0.00,100.00,-,-,-, Sunrisers Hyderabad
1334,Mustafizur Rahman,2016-2017,17,-,-,-,-,0.00,0.00,-,-,-, Sunrisers Hyderabad
1335,S Nadeem,2019-2021,11,3,1,7,5,3.50,77.77,-,-,1, Sunrisers Hyderabad
1336,T Natarajan,2020-2024,55,4,4,3,3*,0.00,60.00,-,-,-, Sunrisers Hyderabad
1337,A Nehra,2016-2017,14,4,4,1,1*,0.00,100.00,-,-,-, Sunrisers Hyderabad
1338,K Nitish Kumar Reddy,2023-2024,15,11,2,303,76*,33.66,142.92,-,2,-, Sunrisers Hyderabad
1339,NV Ojha,2014-2017,56,39,9,584,79*,19.46,120.41,-,1,3, Sunrisers Hyderabad
1340,MK Pandey,2018-2021,51,47,9,1345,83*,35.39,124.76,-,12,1, Sunrisers Hyderabad
1341,Parvez Rasool,2014-2015,5,2,2,2,2*,0.00,100.00,-,-,-, Sunrisers Hyderabad
1342,PA Patel,2013-2013,13,13,-,294,61,22.61,115.29,-,1,-, Sunrisers Hyderabad
1343,IK Pathan,2014-2014,10,6,4,55,23*,27.50,101.85,-,-,-, Sunrisers Hyderabad
1344,YK Pathan,2018-2019,25,21,9,300,45*,25.00,122.44,-,-,1, Sunrisers Hyderabad
1345,NLTC Perera,2013-2013,16,14,4,233,40,23.30,142.94,-,-,-, Sunrisers Hyderabad
1346,GD Phillips,2023-2023,5,5,-,39,25,7.80,177.27,-,-,1, Sunrisers Hyderabad
1347,N Pooran,2022-2022,14,13,5,306,64*,38.25,144.33,-,2,1, Sunrisers Hyderabad
1348,KL Rahul,2014-2015,20,16,3,308,46,23.69,106.20,-,-,-, Sunrisers Hyderabad
1349,AU Rashid,2023-2023,2,2,-,22,18,11.00,137.50,-,-,-, Sunrisers Hyderabad
1350,Rashid Khan,2017-2021,76,35,11,222,34*,9.25,137.03,-,-,9, Sunrisers Hyderabad
1351,DB Ravi Teja,2013-2013,2,2,1,14,10,14.00,82.35,-,-,-, Sunrisers Hyderabad
1352,PA Reddy,2013-2013,7,7,-,91,27,13.00,90.09,-,-,-, Sunrisers Hyderabad
1353,JJ Roy,2021-2021,5,5,-,150,60,30.00,123.96,-,1,-, Sunrisers Hyderabad
1354,WP Saha,2018-2021,29,28,3,553,87,22.12,123.43,-,2,2, Sunrisers Hyderabad
1355,Shahbaz Ahmed,2024-2024,16,12,3,215,59*,23.88,129.51,-,1,1, Sunrisers Hyderabad
1356,BB Samantray,2013-2013,8,7,2,123,55,24.60,110.81,-,1,1, Sunrisers Hyderabad
1357,DJG Sammy,2013-2014,20,18,5,282,60,21.69,126.45,-,1,2, Sunrisers Hyderabad
1358,Sandeep Sharma,2018-2021,43,12,7,26,9,5.20,89.65,-,-,4, Sunrisers Hyderabad
1359,KC Sangakkara,2013-2013,9,9,-,120,28,13.33,88.23,-,-,-, Sunrisers Hyderabad
1360,Sanvir Singh,2023-2024,6,5,3,25,8*,12.50,119.04,-,-,1, Sunrisers Hyderabad
1361,V Shankar,2017-2021,33,28,5,500,63*,21.73,120.19,-,2,1, Sunrisers Hyderabad
1362,Shakib Al Hasan,2018-2019,20,14,2,248,35,20.66,119.80,-,-,-, Sunrisers Hyderabad
1363,I Sharma,2013-2015,23,2,2,-,0*,0.00,0.00,-,-,-, Sunrisers Hyderabad
1364,KV Sharma,2013-2016,46,27,13,267,39*,19.07,116.08,-,-,1, Sunrisers Hyderabad
1365,Shashank Singh,2022-2022,10,5,1,69,25*,17.25,146.80,-,-,-, Sunrisers Hyderabad
1366,R Shepherd,2022-2022,3,3,1,58,26*,29.00,141.46,-,-,-, Sunrisers Hyderabad
1367,BB Sran,2016-2017,15,4,4,4,2*,0.00,100.00,-,-,-, Sunrisers Hyderabad
1368,B Stanlake,2018-2018,4,1,1,5,5*,0.00,250.00,-,-,-, Sunrisers Hyderabad
1369,DW Steyn,2013-2015,37,15,9,95,19*,15.83,126.66,-,-,2, Sunrisers Hyderabad
1370,J Suchith,2021-2022,7,3,1,16,14*,8.00,114.28,-,-,1, Sunrisers Hyderabad
1371,AP Tare,2016-2016,3,2,-,8,8,4.00,53.33,-,-,1, Sunrisers Hyderabad
1372,X Thalaivan Sargunam,2013-2013,1,1,-,10,10,10.00,58.82,-,-,-, Sunrisers Hyderabad
