,Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0,team_name
139,KAJ Roach,2010-2010,2,1,-,10,10,10.00,111.11,-,-,-, Deccan Chargers
140,BB Samantray,2012-2012,1,1,1,2,2*,0.00,100.00,-,-,-, Deccan Chargers
141,KC Sangakkara,2011-2012,25,25,1,558,82,23.25,116.98,-,2,2, Deccan Chargers
142,PM Sarvesh Kumar,2008-2008,2,1,1,1,1*,0.00,50.00,-,-,-, Deccan Chargers
143,Shahid Afridi,2008-2008,10,9,1,81,33,10.12,176.08,-,-,1, Deccan Chargers
144,I Sharma,2011-2011,12,5,5,4,1*,0.00,80.00,-,-,-, Deccan Chargers
145,R Sharma,2010-2010,6,4,1,29,14*,9.66,111.53,-,-,1, Deccan Chargers
146,RG Sharma,2008-2010,45,44,6,1170,76*,30.78,131.46,-,8,2, Deccan Chargers
147,Shoaib Ahmed,2009-2009,8,3,1,1,1*,0.50,16.66,-,-,2, Deccan Chargers
148,LPC Silva,2008-2008,3,3,1,40,23*,20.00,153.84,-,-,1, Deccan Chargers
149,RP Singh,2008-2010,42,20,10,44,10,4.40,73.33,-,-,2, Deccan Chargers
150,DR Smith,2009-2010,11,11,1,237,49,23.70,150.95,-,-,-, Deccan Chargers
151,S Sohal,2011-2011,11,10,-,249,62,24.90,130.36,-,2,1, Deccan Chargers
152,DW Steyn,2011-2012,24,11,2,55,13,6.11,98.21,-,-,-, Deccan Chargers
153,SB Styris,2008-2009,10,9,2,126,36*,18.00,96.18,-,-,-, Deccan Chargers
154,TP Sudhindra,2012-2012,3,1,1,-,0*,0.00,0.00,-,-,-, Deccan Chargers
155,TL Suman,2009-2010,26,26,7,544,78*,28.63,121.70,-,2,2, Deccan Chargers
156,B Sumanth,2010-2010,5,4,3,35,16,35.00,94.59,-,-,-, Deccan Chargers
157,A Symonds,2008-2010,28,27,4,839,117*,36.47,137.09,1,5,-, Deccan Chargers
158,J Theron,2012-2012,2,1,1,7,7*,0.00,116.66,-,-,-, Deccan Chargers
159,WPUJC Vaas,2008-2010,13,11,3,81,20,10.12,110.95,-,-,3, Deccan Chargers
160,Y Venugopal Rao,2008-2010,33,28,5,446,71*,19.39,121.52,-,2,2, Deccan Chargers
161,DP Vijaykumar,2008-2008,9,2,2,1,1*,0.00,100.00,-,-,-, Deccan Chargers
162,CL White,2011-2012,19,19,4,583,78,38.86,135.89,-,5,1, Deccan Chargers
163,AS Yadav,2008-2008,8,6,1,49,16,9.80,125.64,-,-,1, Deccan Chargers
164,DNT Zoysa,2008-2008,3,2,1,11,10*,11.00,122.22,-,-,-, Deccan Chargers
165,S Ladda,2010-2010,5,2,1,-,0*,0.00,0.00,-,-,1, Delhi Capitals
166,AR Bawne,2017-2017,1,1,1,12,12*,0.00,100.00,-,-,-, Delhi Capitals
167,VR Aaron,2011-2012,12,3,1,1,1,0.50,12.50,-,-,1, Delhi Capitals
168,Abhishek Sharma,2018-2018,3,3,2,63,46*,63.00,190.90,-,-,-, Delhi Capitals
169,Abishek Porel,2023-2024,18,16,2,360,65,25.71,152.54,-,2,1, Delhi Capitals
170,AB Agarkar,2011-2013,15,5,3,19,9*,9.50,86.36,-,-,1, Delhi Capitals
171,MA Agarwal,2014-2016,21,21,1,355,68,17.75,121.16,-,2,1, Delhi Capitals
172,KK Ahmed,2022-2024,33,2,-,-,-,0.00,0.00,-,-,2, Delhi Capitals
