,Player,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,team_name
184,DAJ Bracewell,2012-2012,1,1,24,-,32,3,3/32,10.66,8.00,8.0,-,-,1,-, Delhi Capitals
185,CR Brathwaite,2016-2017,10,10,175,-,256,8,3/47,32.00,8.77,21.8,-,-,3,-, Delhi Capitals
186,AT Carey,2020-2020,3,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Delhi Capitals
187,UBT Chand,2011-2013,13,-,0,-,-,-,-,0.00,-,-,-,-,5,-, Delhi Capitals
188,B Chipli,2013-2013,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Delhi Capitals
189,DT Christian,2018-2018,4,4,71,-,101,4,2/35,25.25,8.53,17.7,-,-,-,-, Delhi Capitals
190,PD Collingwood,2010-2010,8,6,89,-,101,5,2/19,20.20,6.80,17.8,-,-,4,-, Delhi Capitals
191,NM Coulter-Nile,2014-2016,17,16,369,1,462,20,4/20,23.10,7.51,18.4,-,-,5,-, Delhi Capitals
192,PJ Cummins,2017-2017,12,12,277,-,373,15,2/20,24.86,8.07,18.4,-,-,1,-, Delhi Capitals
193,TK Curran,2021-2021,3,3,68,-,104,4,3/29,26.00,9.17,17.0,-,-,-,-, Delhi Capitals
194,CJ Dala,2018-2018,1,1,18,-,34,-,-,0.00,11.33,-,-,-,-,-, Delhi Capitals
195,Q de Kock,2014-2016,23,-,0,-,-,-,-,0.00,-,-,-,-,4,2, Delhi Capitals
196,TU Deshpande,2020-2020,5,5,102,-,192,3,2/37,64.00,11.29,34.0,-,-,1,-, Delhi Capitals
197,AB de Villiers,2008-2010,28,-,0,-,-,-,-,0.00,-,-,-,-,22,-, Delhi Capitals
198,S Dhawan,2008-2021,63,-,0,-,-,-,-,0.00,-,-,-,-,27,-, Delhi Capitals
199,YV Dhull,2023-2023,4,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Delhi Capitals
200,TM Dilshan,2008-2010,27,13,151,-,171,4,1/3,42.75,6.79,37.7,-,-,13,-, Delhi Capitals
201,AB Dinda,2011-2011,6,5,102,-,152,5,2/42,30.40,8.94,20.4,-,-,-,-, Delhi Capitals
202,P Dubey,2020-2023,4,4,66,-,91,1,1/19,91.00,8.27,66.0,-,-,1,-, Delhi Capitals
203,JP Duminy,2014-2016,38,25,342,-,421,13,4/17,32.38,7.38,26.3,-,-,13,-, Delhi Capitals
204,AJ Finch,2011-2012,8,1,12,-,13,-,-,0.00,6.50,-,-,-,4,-, Delhi Capitals
205,J Fraser-McGurk,2024-2024,9,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Delhi Capitals
206,G Gambhir,2008-2018,46,-,0,-,-,-,-,0.00,-,-,-,-,8,-, Delhi Capitals
207,PK Garg,2023-2023,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Delhi Capitals
208,CM Gautam,2013-2015,4,-,0,-,-,-,-,0.00,-,-,-,-,-,1, Delhi Capitals
209,B Geeves,2008-2008,2,2,48,-,91,1,1/50,91.00,11.37,48.0,-,-,3,-, Delhi Capitals
210,Gulbadin Naib,2024-2024,2,1,6,-,12,-,-,0.00,12.00,-,-,-,1,-, Delhi Capitals
211,Sunny Gupta,2012-2012,1,1,18,-,47,-,-,0.00,15.66,-,-,-,-,-, Delhi Capitals
212,MC Henriques,2010-2010,1,1,24,-,35,1,1/35,35.00,8.75,24.0,-,-,1,-, Delhi Capitals
213,SO Hetmyer,2020-2021,26,-,0,-,-,-,-,0.00,-,-,-,-,11,-, Delhi Capitals
214,SD Hope,2024-2024,9,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Delhi Capitals
215,JR Hopes,2011-2011,10,9,192,-,272,7,1/25,38.85,8.50,27.4,-,-,3,-, Delhi Capitals
216,Imran Tahir,2014-2016,20,20,434,-,623,29,4/28,21.48,8.61,14.9,-,-,3,-, Delhi Capitals
217,CA Ingram,2011-2019,15,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Delhi Capitals
218,SS Iyer,2015-2021,87,-,0,-,-,-,-,0.00,-,-,-,-,34,-, Delhi Capitals
219,KM Jadhav,2010-2015,41,-,0,-,-,-,-,0.00,-,-,-,-,13,4, Delhi Capitals
220,DPMD Jayawardene,2012-2013,31,-,0,-,-,-,-,0.00,-,-,-,-,10,-, Delhi Capitals
221,MC Juneja,2013-2013,7,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Delhi Capitals
222,KD Karthik,2008-2014,56,-,0,-,-,-,-,0.00,-,-,-,-,31,15, Delhi Capitals
223,S Kaul,2013-2014,11,11,209,2,296,6,2/27,49.33,8.49,34.8,-,-,1,-, Delhi Capitals
224,SN Khan,2022-2023,10,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Delhi Capitals
225,Z Khan,2015-2017,30,30,648,2,806,27,3/20,29.85,7.46,24.0,-,-,4,-, Delhi Capitals
226,Kuldeep Yadav,2022-2024,39,39,850,1,1152,47,4/14,24.51,8.13,18.0,-,-,9,-, Delhi Capitals
227,K Kushagra,2024-2024,4,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Delhi Capitals
228,S Lamichhane,2018-2019,9,9,210,-,292,13,3/36,22.46,8.34,16.1,-,-,2,-, Delhi Capitals
