,Player,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,team_name
700,Arshad Khan,2024-2024,4,4,61,-,114,1,1/45,114.00,11.21,61.0,-,-,1,-, Lucknow Super Giants
701,Avesh Khan,2022-2023,22,22,460,1,699,26,4/24,26.88,9.11,17.6,-,-,4,-, Lucknow Super Giants
702,A Badoni,2022-2024,42,5,25,-,36,2,1/5,18.00,8.64,12.5,-,-,14,-, Lucknow Super Giants
703,PVD Chameera,2022-2022,12,12,264,-,384,9,2/17,42.66,8.72,29.3,-,-,2,-, Lucknow Super Giants
704,Q de Kock,2022-2024,30,-,0,-,-,-,-,0.00,-,-,-,-,17,2, Lucknow Super Giants
705,K Gowtham,2022-2024,12,11,180,1,246,8,2/30,30.75,8.20,22.5,-,-,7,-, Lucknow Super Giants
706,MJ Henry,2024-2024,4,4,72,-,110,1,1/28,110.00,9.16,72.0,-,-,-,-, Lucknow Super Giants
707,JO Holder,2022-2022,12,12,249,-,391,14,3/31,27.92,9.42,17.7,-,-,4,-, Lucknow Super Giants
708,DJ Hooda,2022-2024,38,5,48,-,73,1,1/31,73.00,9.12,48.0,-,-,20,-, Lucknow Super Giants
709,S Joseph,2024-2024,1,1,24,-,47,-,-,0.00,11.75,-,-,-,-,-, Lucknow Super Giants
710,AA Kulkarni,2024-2024,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Lucknow Super Giants
711,E Lewis,2022-2022,6,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Lucknow Super Giants
712,PN Mankad,2023-2023,5,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Lucknow Super Giants
713,KR Mayers,2023-2023,13,6,42,-,59,-,-,0.00,8.42,-,-,-,2,-, Lucknow Super Giants
714,A Mishra,2023-2024,8,8,126,-,169,8,2/21,21.12,8.04,15.7,-,-,2,-, Lucknow Super Giants
715,Mohsin Khan,2022-2024,24,23,486,2,689,27,4/16,25.51,8.50,18.0,-,-,2,-, Lucknow Super Giants
716,Naveen-ul-Haq,2023-2024,18,17,387,-,591,25,4/38,23.64,9.16,15.4,-,-,6,-, Lucknow Super Giants
717,D Padikkal,2024-2024,7,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Lucknow Super Giants
718,MK Pandey,2022-2022,6,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Lucknow Super Giants
719,KH Pandya,2022-2024,43,36,678,1,833,25,3/11,33.32,7.37,27.1,-,-,18,-, Lucknow Super Giants
720,N Pooran,2023-2024,29,-,0,-,-,-,-,0.00,-,-,-,-,13,3, Lucknow Super Giants
721,KL Rahul,2022-2024,38,-,0,-,-,-,-,0.00,-,-,-,-,28,2, Lucknow Super Giants
722,Ravi Bishnoi,2022-2024,43,42,889,-,1230,39,3/28,31.53,8.30,22.7,-,-,16,-, Lucknow Super Giants
723,KS Sharma,2022-2023,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Lucknow Super Giants
724,R Shepherd,2023-2023,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Lucknow Super Giants
725,M Siddharth,2024-2024,3,3,54,-,71,1,1/21,71.00,7.88,54.0,-,-,-,-, Lucknow Super Giants
726,MP Stoinis,2022-2024,40,17,191,-,305,13,3/23,23.46,9.58,14.6,-,-,12,-, Lucknow Super Giants
727,Swapnil Singh,2023-2023,2,2,12,-,18,-,-,0.00,9.00,-,-,-,-,-, Lucknow Super Giants
728,Yash Thakur,2023-2024,19,19,404,1,691,24,5/30,28.79,10.26,16.8,1,-,2,-, Lucknow Super Giants
729,AJ Turner,2024-2024,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Lucknow Super Giants
730,AJ Tye,2022-2022,3,3,66,-,107,2,2/40,53.50,9.72,33.0,-,-,1,-, Lucknow Super Giants
731,JD Unadkat,2023-2023,3,3,48,-,92,-,-,0.00,11.50,-,-,-,-,-, Lucknow Super Giants
732,M Vohra,2022-2023,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Lucknow Super Giants
733,MA Wood,2023-2023,4,4,96,1,130,11,5/14,11.81,8.12,8.7,1,-,2,-, Lucknow Super Giants
734,MP Yadav,2024-2024,4,4,73,-,85,7,3/14,12.14,6.98,10.4,-,-,1,-, Lucknow Super Giants
735,Yudhvir Singh,2023-2024,5,5,72,-,122,4,2/19,30.50,10.16,18.0,-,-,-,-, Lucknow Super Giants
736,AN Ahmed,2010-2013,10,10,186,1,257,8,2/13,32.12,8.29,23.2,-,-,2,-, Mumbai Indians
737,FA Allen,2022-2022,1,1,24,-,46,1,1/46,46.00,11.50,24.0,-,-,-,-, Mumbai Indians
738,CJ Anderson,2014-2015,16,11,132,-,217,5,2/18,43.40,9.86,26.4,-,-,6,-, Mumbai Indians
739,Anmolpreet Singh,2021-2022,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Mumbai Indians
740,JC Archer,2023-2023,5,5,120,-,190,2,1/35,95.00,9.50,60.0,-,-,1,-, Mumbai Indians
741,Arshad Khan,2023-2023,6,6,85,-,190,5,3/39,38.00,13.41,17.0,-,-,2,-, Mumbai Indians
742,M Ashwin,2022-2022,8,8,174,-,228,9,2/14,25.33,7.86,19.3,-,-,-,-, Mumbai Indians
743,Basil Thampi,2022-2022,5,5,96,1,152,5,3/35,30.40,9.50,19.2,-,-,1,-, Mumbai Indians
744,JP Behrendorff,2019-2023,17,17,366,-,552,19,3/23,29.05,9.04,19.2,-,-,2,-, Mumbai Indians
745,STR Binny,2010-2010,1,1,6,-,9,-,-,0.00,9.00,-,-,-,-,-, Mumbai Indians
746,AC Blizzard,2011-2012,7,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Mumbai Indians
747,TA Boult,2020-2021,29,29,652,4,863,38,4/18,22.71,7.94,17.1,-,-,9,-, Mumbai Indians
748,DJ Bravo,2008-2010,30,30,526,1,719,26,3/24,27.65,8.20,20.2,-,-,15,-, Mumbai Indians
749,D Brevis,2022-2024,10,1,3,-,8,1,1/8,8.00,16.00,3.0,-,-,3,-, Mumbai Indians
750,JJ Bumrah,2013-2024,133,133,3053,8,3715,165,5/10,22.51,7.30,18.5,2,-,16,-, Mumbai Indians
751,JC Buttler,2016-2017,24,-,0,-,-,-,-,0.00,-,-,-,-,8,-, Mumbai Indians
752,YS Chahal,2013-2013,1,1,24,-,34,-,-,0.00,8.50,-,-,-,-,-, Mumbai Indians
753,RD Chahar,2019-2021,39,39,858,-,1059,41,4/27,25.82,7.40,20.9,-,-,10,-, Mumbai Indians
754,UBT Chand,2015-2016,7,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Mumbai Indians
755,PP Chawla,2021-2024,28,28,600,-,845,36,3/22,23.47,8.45,16.6,-,-,3,-, Mumbai Indians
756,SD Chitnis,2008-2008,3,2,36,-,60,2,2/40,30.00,10.00,18.0,-,-,1,-, Mumbai Indians
757,G Coetzee,2024-2024,10,10,201,-,341,13,4/34,26.23,10.17,15.4,-,-,2,-, Mumbai Indians
758,NM Coulter-Nile,2013-2021,13,13,300,-,362,13,4/14,27.84,7.24,23.0,-,-,5,-, Mumbai Indians
759,BCJ Cutting,2018-2019,12,8,114,-,195,3,1/12,65.00,10.26,38.0,-,-,7,-, Mumbai Indians
760,A Dananjaya,2018-2018,1,1,24,-,47,-,-,0.00,11.75,-,-,-,-,-, Mumbai Indians
761,TH David,2022-2024,37,-,0,-,-,-,-,0.00,-,-,-,-,22,-, Mumbai Indians
762,Q de Kock,2019-2021,43,-,0,-,-,-,-,0.00,-,-,-,-,39,8, Mumbai Indians
763,M de Lange,2014-2015,2,2,48,1,62,2,2/32,31.00,7.75,24.0,-,-,-,-, Mumbai Indians
764,R Dhawan,2013-2013,6,5,90,1,109,2,1/6,54.50,7.26,45.0,-,-,3,-, Mumbai Indians
765,S Dhawan,2009-2010,15,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Mumbai Indians
766,JP Duminy,2009-2018,26,10,156,-,166,5,2/15,33.20,6.38,31.2,-,-,9,-, Mumbai Indians
767,BR Dunk,2014-2014,3,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Mumbai Indians
768,CRD Fernando,2008-2010,10,10,234,-,294,17,4/18,17.29,7.53,13.7,-,-,3,-, Mumbai Indians
769,AJ Finch,2015-2015,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Mumbai Indians
770,JEC Franklin,2011-2012,20,15,151,-,220,9,2/18,24.44,8.74,16.7,-,-,6,-, Mumbai Indians
771,CM Gautam,2014-2014,9,-,0,-,-,-,-,0.00,-,-,-,-,3,3, Mumbai Indians
772,HH Gibbs,2012-2012,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Mumbai Indians
773,S Gopal,2014-2024,9,9,157,-,221,10,2/25,22.10,8.44,15.7,-,-,2,-, Mumbai Indians
774,R Goyal,2023-2023,1,1,24,-,33,-,-,0.00,8.25,-,-,-,1,-, Mumbai Indians
775,C Green,2023-2023,16,16,228,-,361,6,2/41,60.16,9.50,38.0,-,-,5,-, Mumbai Indians
776,MJ Guptill,2016-2016,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Mumbai Indians
777,Harbhajan Singh,2008-2017,136,134,2919,5,3385,127,5/18,26.65,6.95,22.9,1,-,40,-, Mumbai Indians
778,MEK Hussey,2014-2014,9,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Mumbai Indians
779,Ishan Kishan,2018-2024,89,-,0,-,-,-,-,0.00,-,-,-,-,47,5, Mumbai Indians
780,DJ Jacobs,2011-2012,7,-,0,-,-,-,-,0.00,-,-,-,-,3,2, Mumbai Indians
781,D Jansen,2023-2023,1,1,24,-,53,1,1/53,53.00,13.25,24.0,-,-,2,-, Mumbai Indians
782,M Jansen,2021-2021,2,2,36,-,45,2,2/28,22.50,7.50,18.0,-,-,1,-, Mumbai Indians
783,ST Jayasuriya,2008-2010,30,21,294,1,390,13,3/14,30.00,7.95,22.6,-,-,4,-, Mumbai Indians
784,MG Johnson,2013-2017,22,22,504,1,600,31,3/26,19.35,7.14,16.2,-,-,8,-, Mumbai Indians
785,CJ Jordan,2023-2023,6,6,132,1,237,3,1/7,79.00,10.77,44.0,-,-,1,-, Mumbai Indians
786,AS Joseph,2019-2019,3,3,52,1,87,6,6/12,14.50,10.03,8.6,1,-,1,-, Mumbai Indians
787,A Kamboj,2024-2024,3,3,60,-,114,2,1/24,57.00,11.40,30.0,-,-,3,-, Mumbai Indians
788,KD Karthik,2012-2013,36,-,0,-,-,-,-,0.00,-,-,-,-,17,4, Mumbai Indians
789,K Kartikeya,2022-2023,12,12,234,-,329,10,2/22,32.90,8.43,23.4,-,-,1,-, Mumbai Indians
790,Z Khan,2009-2014,26,26,550,1,664,26,3/21,25.53,7.24,21.1,-,-,6,-, Mumbai Indians
791,MA Khote,2008-2008,4,2,30,-,51,2,2/29,25.50,10.20,15.0,-,-,-,-, Mumbai Indians
792,DS Kulkarni,2008-2021,35,35,679,1,916,36,3/18,25.44,8.09,18.8,-,-,6,-, Mumbai Indians
793,P Kumar,2014-2014,3,3,72,-,78,3,2/31,26.00,6.50,24.0,-,-,-,-, Mumbai Indians
794,SD Lad,2019-2019,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Mumbai Indians
795,RE Levi,2012-2012,6,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Mumbai Indians
796,E Lewis,2018-2019,16,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Mumbai Indians
797,CA Lynn,2021-2021,1,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Mumbai Indians
798,MJ McClenaghan,2015-2019,56,56,1274,1,1803,71,4/21,25.39,8.49,17.9,-,-,1,-, Mumbai Indians
799,CJ McKay,2012-2012,2,2,42,-,60,1,1/36,60.00,8.57,42.0,-,-,-,-, Mumbai Indians
800,R McLaren,2010-2010,10,10,204,-,270,4,2/28,67.50,7.94,51.0,-,-,2,-, Mumbai Indians
801,C Madan,2010-2010,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Mumbai Indians
802,SL Malinga,2009-2019,122,122,2827,8,3365,170,5/13,19.79,7.14,16.6,1,-,21,-, Mumbai Indians
803,A Madhwal,2023-2024,13,13,262,-,424,19,5/5,22.31,9.70,13.7,1,-,1,-, Mumbai Indians
804,KT Maphaka,2024-2024,2,2,36,-,89,1,1/23,89.00,14.83,36.0,-,-,-,-, Mumbai Indians
805,M Markande,2018-2022,19,19,342,-,484,17,4/23,28.47,8.49,20.1,-,-,5,-, Mumbai Indians
806,GJ Maxwell,2013-2013,3,2,12,-,23,-,-,0.00,11.50,-,-,-,1,-, Mumbai Indians
807,RP Meredith,2022-2023,13,13,286,-,443,15,2/24,29.53,9.29,19.0,-,-,2,-, Mumbai Indians
808,TS Mills,2022-2022,5,5,102,-,190,6,3/35,31.66,11.17,17.0,-,-,-,-, Mumbai Indians
809,AF Milne,2021-2021,4,4,84,-,131,3,2/21,43.66,9.35,28.0,-,-,2,-, Mumbai Indians
810,Mohammad Ashraful,2009-2009,1,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Mumbai Indians
811,Mohammad Nabi,2024-2024,7,6,74,-,109,2,1/16,54.50,8.83,37.0,-,-,7,-, Mumbai Indians
812,SZ Mulani,2024-2024,2,2,30,-,57,-,-,0.00,11.40,-,-,-,-,-, Mumbai Indians
813,AG Murtaza,2010-2011,8,8,192,-,208,6,2/18,34.66,6.50,32.0,-,-,2,-, Mumbai Indians
814,Mustafizur Rahman,2018-2018,7,7,165,-,230,7,3/24,32.85,8.36,23.5,-,-,2,-, Mumbai Indians
815,Naman Dhir,2024-2024,7,3,28,-,55,-,-,0.00,11.78,-,-,-,3,-, Mumbai Indians
816,C Nanda,2009-2009,3,3,48,-,57,2,1/4,28.50,7.12,24.0,-,-,-,-, Mumbai Indians
817,GR Napier,2009-2009,1,1,24,-,27,1,1/27,27.00,6.75,24.0,-,-,-,-, Mumbai Indians
818,AM Nayar,2008-2010,30,9,114,-,152,5,3/13,30.40,8.00,22.8,-,-,9,-, Mumbai Indians
819,JDS Neesham,2021-2021,3,3,54,-,66,5,3/12,13.20,7.33,10.8,-,-,-,-, Mumbai Indians
820,A Nehra,2008-2008,14,14,269,-,348,12,3/13,29.00,7.76,22.4,-,-,7,-, Mumbai Indians
821,A Nel,2008-2008,1,1,18,-,31,1,1/31,31.00,10.33,18.0,-,-,-,-, Mumbai Indians
822,PP Ojha,2012-2015,38,37,782,1,1004,29,3/11,34.62,7.70,26.9,-,-,3,-, Mumbai Indians
823,JDP Oram,2013-2013,1,1,24,-,22,-,-,0.00,5.50,-,-,-,-,-, Mumbai Indians
824,MK Pandey,2008-2008,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Mumbai Indians
825,HH Pandya,2015-2024,106,72,1085,-,1700,53,3/20,32.07,9.40,20.4,-,-,57,-, Mumbai Indians
826,KH Pandya,2016-2021,84,81,1444,-,1773,51,3/14,34.76,7.36,28.3,-,-,28,-, Mumbai Indians
827,MM Patel,2011-2013,31,31,696,3,862,40,5/21,21.55,7.43,17.4,1,-,8,-, Mumbai Indians
828,PA Patel,2015-2017,40,-,0,-,-,-,-,0.00,-,-,-,-,22,6, Mumbai Indians
829,JL Pattinson,2020-2020,10,10,213,-,320,11,2/19,29.09,9.01,19.3,-,-,2,-, Mumbai Indians
830,RV Pawar,2008-2008,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Mumbai Indians
831,NLTC Perera,2012-2012,2,2,15,-,27,-,-,0.00,10.80,-,-,-,2,-, Mumbai Indians
832,RJ Peterson,2012-2012,5,4,48,-,70,3,3/37,23.33,8.75,16.0,-,-,1,-, Mumbai Indians
833,KA Pollard,2010-2022,189,107,1488,-,2180,69,4/44,31.59,8.79,21.5,-,-,103,-, Mumbai Indians
834,SM Pollock,2008-2008,13,13,276,1,301,11,3/12,27.36,6.54,25.0,-,-,2,-, Mumbai Indians
835,RT Ponting,2013-2013,6,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Mumbai Indians
836,RW Price,2011-2011,1,1,18,-,33,-,-,0.00,11.00,-,-,-,-,-, Mumbai Indians
837,AM Rahane,2008-2009,10,1,6,-,5,1,1/5,5.00,5.00,6.0,-,-,1,-, Mumbai Indians
838,RR Raje,2008-2009,10,10,139,-,209,6,2/16,34.83,9.02,23.1,-,-,3,-, Mumbai Indians
839,Ramandeep Singh,2022-2022,5,3,36,-,54,6,3/20,9.00,9.00,6.0,-,-,1,-, Mumbai Indians
840,N Rana,2016-2017,17,1,6,-,3,-,-,0.00,3.00,-,-,-,4,-, Mumbai Indians
841,Rasikh Salam,2019-2019,1,1,24,-,42,-,-,0.00,10.50,-,-,-,1,-, Mumbai Indians
842,AT Rayudu,2010-2017,114,-,0,-,-,-,-,0.00,-,-,-,-,45,2, Mumbai Indians
843,L Ronchi,2008-2009,5,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Mumbai Indians
844,AS Roy,2019-2019,1,1,12,-,11,1,1/11,11.00,5.50,12.0,-,-,-,-, Mumbai Indians
845,DR Sams,2022-2022,11,11,252,-,370,13,4/30,28.46,8.80,19.3,-,-,7,-, Mumbai Indians
846,PJ Sangwan,2018-2018,1,1,12,-,19,-,-,0.00,9.50,-,-,-,-,-, Mumbai Indians
847,R Sanjay Yadav,2022-2022,1,1,12,-,23,-,-,0.00,11.50,-,-,-,-,-, Mumbai Indians
848,K Santokie,2014-2014,2,2,48,-,90,3,2/50,30.00,11.25,16.0,-,-,1,-, Mumbai Indians
849,R Sathish,2010-2011,21,8,79,-,122,2,1/11,61.00,9.26,39.5,-,-,6,-, Mumbai Indians
850,PR Shah,2008-2009,14,-,0,-,-,-,-,0.00,-,-,-,-,10,2, Mumbai Indians
851,RA Shaikh,2009-2009,1,1,6,-,11,-,-,0.00,11.00,-,-,-,-,-, Mumbai Indians
852,KV Sharma,2017-2017,9,9,184,-,214,13,4/16,16.46,6.97,14.1,-,-,3,-, Mumbai Indians
853,RG Sharma,2011-2024,212,10,63,-,114,1,1/20,114.00,10.85,63.0,-,-,79,-, Mumbai Indians
854,R Shepherd,2024-2024,6,5,72,-,159,1,1/54,159.00,13.25,72.0,-,-,-,-, Mumbai Indians
855,HR Shokeen,2022-2023,13,13,204,-,314,5,2/34,62.80,9.23,40.8,-,-,5,-, Mumbai Indians
856,R Shukla,2012-2012,1,1,18,-,31,-,-,0.00,10.33,-,-,-,-,-, Mumbai Indians
857,LMP Simmons,2014-2017,29,1,18,-,34,1,1/34,34.00,11.33,18.0,-,-,10,-, Mumbai Indians
858,RP Singh,2012-2012,11,11,246,-,318,10,3/28,31.80,7.75,24.6,-,-,3,-, Mumbai Indians
859,DR Smith,2008-2013,24,13,174,-,237,9,3/26,26.33,8.17,19.3,-,-,11,-, Mumbai Indians
860,TG Southee,2016-2017,14,14,318,1,425,12,3/24,35.41,8.01,26.5,-,-,5,-, Mumbai Indians
861,BB Sran,2019-2019,2,2,24,-,51,-,-,0.00,12.75,-,-,-,-,-, Mumbai Indians
862,T Stubbs,2022-2023,4,1,12,-,14,1,1/14,14.00,7.00,12.0,-,-,-,-, Mumbai Indians
863,J Suchith,2015-2016,14,13,246,-,368,10,2/14,36.80,8.97,24.6,-,-,8,-, Mumbai Indians
864,TL Suman,2011-2012,10,3,36,-,50,-,-,0.00,8.33,-,-,-,3,-, Mumbai Indians
865,P Suyal,2013-2015,5,5,96,-,151,2,1/21,75.50,9.43,48.0,-,-,1,-, Mumbai Indians
866,A Symonds,2011-2011,11,3,24,-,41,1,1/11,41.00,10.25,24.0,-,-,5,-, Mumbai Indians
867,YV Takawale,2008-2009,11,-,0,-,-,-,-,0.00,-,-,-,-,11,3, Mumbai Indians
868,AP Tare,2010-2015,29,-,0,-,-,-,-,0.00,-,-,-,-,2,5, Mumbai Indians
869,AS Tendulkar,2023-2024,5,5,73,-,114,3,1/9,38.00,9.36,24.3,-,-,-,-, Mumbai Indians
870,SR Tendulkar,2008-2013,78,4,36,-,58,-,-,0.00,9.66,-,-,-,23,-, Mumbai Indians
871,DJ Thornely,2008-2008,6,4,42,-,40,3,2/7,13.33,5.71,14.0,-,-,3,-, Mumbai Indians
872,N Thushara,2024-2024,7,7,156,-,257,8,3/28,32.12,9.88,19.5,-,-,1,-, Mumbai Indians
873,NT Tilak Varma,2022-2024,38,4,22,-,28,-,-,0.00,7.63,-,-,-,23,-, Mumbai Indians
874,SS Tiwary,2008-2021,36,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Mumbai Indians
875,JD Unadkat,2022-2022,5,5,120,-,190,6,2/32,31.66,9.50,20.0,-,-,1,-, Mumbai Indians
876,RV Uthappa,2008-2008,14,-,0,-,-,-,-,0.00,-,-,-,-,9,-, Mumbai Indians
877,R Vinay Kumar,2015-2017,17,17,333,1,463,12,2/17,38.58,8.34,27.7,-,-,6,-, Mumbai Indians
878,Vishnu Vinod,2023-2023,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Mumbai Indians
879,N Wadhera,2023-2024,20,1,12,-,13,-,-,0.00,6.50,-,-,-,6,-, Mumbai Indians
880,L Wood,2024-2024,2,2,36,-,93,1,1/68,93.00,15.50,36.0,-,-,-,-, Mumbai Indians
881,J Yadav,2019-2021,9,9,186,-,223,4,1/25,55.75,7.19,46.5,-,-,4,-, Mumbai Indians
882,SA Yadav,2012-2024,96,-,0,-,-,-,-,0.00,-,-,-,-,43,-, Mumbai Indians
883,VS Yeligati,2008-2008,2,2,30,-,59,-,-,0.00,11.80,-,-,-,-,-, Mumbai Indians
884,Yuvraj Singh,2019-2019,4,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Mumbai Indians
885,UA Birla,2013-2013,2,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Pune Warriors
886,MJ Clarke,2012-2012,6,5,66,-,67,2,1/12,33.50,6.09,33.0,-,-,1,-, Pune Warriors
887,AB Dinda,2012-2013,20,20,438,1,634,25,4/18,25.36,8.68,17.5,-,-,4,-, Pune Warriors
888,JP Faulkner,2011-2011,1,1,12,1,9,1,1/9,9.00,4.50,12.0,-,-,-,-, Pune Warriors
889,CJ Ferguson,2011-2012,9,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Pune Warriors
890,AJ Finch,2013-2013,14,3,24,-,49,1,1/11,49.00,12.25,24.0,-,-,2,-, Pune Warriors
891,SC Ganguly,2011-2012,19,4,60,-,95,2,2/27,47.50,9.50,30.0,-,-,7,-, Pune Warriors
892,RV Gomez,2013-2013,2,1,6,-,5,-,-,0.00,5.00,-,-,-,2,-, Pune Warriors
893,Harpreet Singh,2011-2012,3,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Pune Warriors
894,AA Jhunjhunwala,2011-2011,3,2,12,-,22,-,-,0.00,11.00,-,-,-,4,-, Pune Warriors
895,Kamran Khan,2011-2011,1,1,18,-,47,-,-,0.00,15.66,-,-,-,-,-, Pune Warriors
896,M Kartik,2011-2012,17,17,342,1,432,5,2/14,86.40,7.57,68.4,-,-,5,-, Pune Warriors
897,B Kumar,2011-2013,31,31,642,2,719,24,3/18,29.95,6.71,26.7,-,-,4,-, Pune Warriors
898,NL McCullum,2011-2011,2,2,30,-,34,-,-,0.00,6.80,-,-,-,1,-, Pune Warriors
899,AP Majumdar,2012-2012,4,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Pune Warriors
900,M Manhas,2011-2013,23,3,42,-,42,-,-,0.00,6.00,-,-,-,9,-, Pune Warriors
901,MR Marsh,2011-2013,14,12,201,-,281,14,4/25,20.07,8.38,14.3,-,-,7,-, Pune Warriors
902,AD Mathews,2012-2013,20,19,342,-,432,12,3/14,36.00,7.57,28.5,-,-,8,-, Pune Warriors
903,BAW Mendis,2013-2013,3,3,72,-,78,2,1/15,39.00,6.50,36.0,-,-,-,-, Pune Warriors
904,MD Mishra,2011-2012,7,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Pune Warriors
905,SS Mundhe,2011-2011,1,1,6,-,6,1,1/6,6.00,6.00,6.0,-,-,-,-, Pune Warriors
906,AG Murtaza,2012-2013,4,4,72,-,105,3,3/15,35.00,8.75,24.0,-,-,1,-, Pune Warriors
907,AM Nayar,2013-2013,11,3,48,-,59,2,1/15,29.50,7.37,24.0,-,-,1,-, Pune Warriors
908,A Nehra,2012-2012,13,13,288,-,402,11,3/23,36.54,8.37,26.1,-,-,1,-, Pune Warriors
909,TD Paine,2011-2011,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Pune Warriors
910,IC Pandey,2013-2013,2,2,24,-,50,1,1/17,50.00,12.50,24.0,-,-,-,-, Pune Warriors
911,MK Pandey,2011-2013,27,-,0,-,-,-,-,0.00,-,-,-,-,14,-, Pune Warriors
912,WD Parnell,2011-2013,18,18,391,1,478,20,3/27,23.90,7.33,19.5,-,-,3,-, Pune Warriors
913,Parvez Rasool,2013-2013,2,2,30,-,28,1,1/23,28.00,5.60,30.0,-,-,-,-, Pune Warriors
914,S Rana,2011-2011,2,1,4,-,2,-,-,0.00,3.00,-,-,-,-,-, Pune Warriors
915,M Rawat,2013-2013,2,-,0,-,-,-,-,0.00,-,-,-,-,1,1, Pune Warriors
916,KW Richardson,2013-2013,3,3,71,-,101,2,1/28,50.50,8.53,35.5,-,-,-,-, Pune Warriors
917,JD Ryder,2011-2012,24,11,134,1,188,5,1/8,37.60,8.41,26.8,-,-,8,-, Pune Warriors
918,MN Samuels,2012-2013,10,9,196,-,250,9,3/39,27.77,7.65,21.7,-,-,1,-, Pune Warriors
919,R Sharma,2011-2013,36,36,768,1,854,34,3/13,25.11,6.67,22.5,-,-,11,-, Pune Warriors
920,GC Smith,2011-2011,4,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Pune Warriors
921,SPD Smith,2012-2013,22,1,2,-,5,-,-,0.00,15.00,-,-,-,14,-, Pune Warriors
922,TL Suman,2013-2013,7,1,12,-,15,1,1/15,15.00,7.50,12.0,-,-,2,-, Pune Warriors
923,JE Taylor,2011-2011,5,5,117,-,157,6,3/30,26.16,8.05,19.5,-,-,-,-, Pune Warriors
924,LRPL Taylor,2013-2013,5,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Pune Warriors
925,AC Thomas,2011-2012,15,15,315,2,406,14,3/22,29.00,7.73,22.5,-,-,3,-, Pune Warriors
926,K Upadhyay,2012-2013,3,3,54,-,81,-,-,0.00,9.00,-,-,-,1,-, Pune Warriors
927,RV Uthappa,2011-2013,46,-,0,-,-,-,-,0.00,-,-,-,-,25,6, Pune Warriors
928,SB Wagh,2011-2011,7,7,96,-,121,4,3/16,30.25,7.56,24.0,-,-,1,-, Pune Warriors
929,LJ Wright,2012-2013,7,6,71,-,124,2,1/12,62.00,10.47,35.5,-,-,2,-, Pune Warriors
930,Yuvraj Singh,2011-2013,27,23,306,-,344,15,4/29,22.93,6.74,20.4,-,-,6,-, Pune Warriors
931,VR Aaron,2019-2020,8,8,120,1,210,4,2/20,52.50,10.50,30.0,-,-,1,-, Rajasthan Royals
932,Abdul Basith,2023-2023,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
933,Akash Singh,2021-2021,1,1,24,-,39,-,-,0.00,9.75,-,-,-,-,-, Rajasthan Royals
934,Ankit Sharma,2014-2018,8,7,138,-,168,7,2/20,24.00,7.30,19.7,-,-,2,-, Rajasthan Royals
935,Anuj Rawat,2021-2021,2,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Rajasthan Royals
936,Anureet Singh,2018-2018,3,3,24,-,42,1,1/20,42.00,10.50,24.0,-,-,1,-, Rajasthan Royals
937,JC Archer,2018-2020,35,35,825,2,981,46,3/15,21.32,7.13,17.9,-,-,9,-, Rajasthan Royals
